"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0096668,7.6162e-06,0,-1.8824e-05,1,0,0.5,0,0.05
-0.010111,7.0422e-06,0,-1.935e-05,1,0.001,0.5,0.001,0.05
-0.010556,6.4682e-06,0,-1.9876e-05,1,0.002,0.5,0.002,0.05
-0.011,5.8943e-06,0,-2.0402e-05,1,0.003,0.5,0.003,0.05
-0.011445,5.3203e-06,0,-2.0928e-05,1,0.004,0.5,0.004,0.05
-0.011889,4.7463e-06,0,-2.1454e-05,1,0.005,0.5,0.005,0.05
-0.012334,4.1724e-06,0,-2.198e-05,1,0.006,0.5,0.006,0.05
-0.012778,3.5984e-06,0,-2.2506e-05,1,0.007,0.5,0.007,0.05
-0.013223,3.0244e-06,0,-2.3032e-05,1,0.008,0.5,0.008,0.05
-0.013667,2.4505e-06,0,-2.3558e-05,1,0.009,0.5,0.009,0.05
-0.014112,1.8765e-06,0,-2.4084e-05,1,0.01,0.5,0.01,0.05
-0.014556,1.3025e-06,0,-2.461e-05,1,0.011,0.5,0.011,0.05
-0.015001,7.2856e-07,0,-2.5136e-05,1,0.012,0.5,0.012,0.05
-0.015445,1.546e-07,0,-2.5662e-05,1,0.013,0.5,0.013,0.05
-0.01589,-4.1937e-07,0,-2.6187e-05,1,0.014,0.5,0.014,0.05
-0.016335,-9.9334e-07,0,-2.6713e-05,1,0.015,0.5,0.015,0.05
-0.016779,-1.5673e-06,0,-2.7239e-05,1,0.016,0.5,0.016,0.05
-0.017224,-2.1413e-06,0,-2.7765e-05,1,0.017,0.5,0.017,0.05
-0.017668,-2.7152e-06,0,-2.8291e-05,1,0.018,0.5,0.018,0.05
-0.018113,-3.2892e-06,0,-2.8817e-05,1,0.019,0.5,0.019,0.05
-0.018557,-3.8632e-06,0,-2.9343e-05,1,0.02,0.5,0.02,0.05
-0.01942,-7.2013e-06,0,-3.0938e-05,1,0.021,0.5,0.021,0.05
-0.020282,-1.054e-05,0,-3.2533e-05,1,0.022,0.5,0.022,0.05
-0.021145,-1.3878e-05,0,-3.4128e-05,1,0.023,0.5,0.023,0.05
-0.022007,-1.7216e-05,0,-3.5723e-05,1,0.024,0.5,0.024,0.05
-0.02287,-2.0554e-05,0,-3.7317e-05,1,0.025,0.5,0.025,0.05
-0.023732,-2.3892e-05,0,-3.8912e-05,1,0.026,0.5,0.026,0.05
-0.024595,-2.723e-05,0,-4.0507e-05,1,0.027,0.5,0.027,0.05
-0.025457,-3.0569e-05,0,-4.2102e-05,1,0.028,0.5,0.028,0.05
