"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.011782,1.0038e-05,0,0.016949,1,0,0.5,0,0.05
-0.012085,1.0557e-05,0,0.016949,1,0.001,0.5,0.001,0.05
-0.012389,1.1075e-05,0,0.01695,1,0.002,0.5,0.002,0.05
-0.012692,1.1593e-05,0,0.01695,1,0.003,0.5,0.003,0.05
-0.012995,1.2112e-05,0,0.016951,1,0.004,0.5,0.004,0.05
-0.013299,1.263e-05,0,0.016951,1,0.005,0.5,0.005,0.05
-0.013602,1.3148e-05,0,0.016952,1,0.006,0.5,0.006,0.05
-0.013906,1.3667e-05,0,0.016952,1,0.007,0.5,0.007,0.05
-0.014209,1.4185e-05,0,0.016953,1,0.008,0.5,0.008,0.05
-0.014512,1.4703e-05,0,0.016953,1,0.009,0.5,0.009,0.05
-0.014816,1.5222e-05,0,0.016954,1,0.01,0.5,0.01,0.05
-0.015119,1.574e-05,0,0.016955,1,0.011,0.5,0.011,0.05
-0.015423,1.6258e-05,0,0.016955,1,0.012,0.5,0.012,0.05
-0.015726,1.6777e-05,0,0.016956,1,0.013,0.5,0.013,0.05
-0.016029,1.7295e-05,0,0.016956,1,0.014,0.5,0.014,0.05
-0.016333,1.7813e-05,0,0.016957,1,0.015,0.5,0.015,0.05
-0.016636,1.8332e-05,0,0.016957,1,0.016,0.5,0.016,0.05
-0.01694,1.885e-05,0,0.016958,1,0.017,0.5,0.017,0.05
-0.017243,1.9368e-05,0,0.016958,1,0.018,0.5,0.018,0.05
-0.017547,1.9887e-05,0,0.016959,1,0.019,0.5,0.019,0.05
-0.01785,2.0405e-05,0,0.016959,1,0.02,0.5,0.02,0.05
-0.018153,2.0923e-05,0,0.01696,1,0.021,0.5,0.021,0.05
-0.018457,2.1442e-05,0,0.01696,1,0.022,0.5,0.022,0.05
-0.01876,2.196e-05,0,0.016961,1,0.023,0.5,0.023,0.05
-0.019064,2.2478e-05,0,0.016961,1,0.024,0.5,0.024,0.05
-0.019367,2.2997e-05,0,0.016962,1,0.025,0.5,0.025,0.05
-0.01967,2.3515e-05,0,0.016962,1,0.026,0.5,0.026,0.05
-0.019974,2.4033e-05,0,0.016963,1,0.027,0.5,0.027,0.05
