"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00025939,0.025784,0,-0.015105,1,0,0,0.5,0.05
-0.0003042,0.026859,0,-0.015121,1,0.001,0.001,0.5,0.05
-0.000349,0.027933,0,-0.015137,1,0.002,0.002,0.5,0.05
-0.00039381,0.029008,0,-0.015153,1,0.003,0.003,0.5,0.05
-0.00043862,0.030083,0,-0.015169,1,0.004,0.004,0.5,0.05
-0.00048343,0.031157,0,-0.015185,1,0.005,0.005,0.5,0.05
-0.00052823,0.032232,0,-0.015201,1,0.006,0.006,0.5,0.05
-0.00057304,0.033307,0,-0.015217,1,0.007,0.007,0.5,0.05
-0.00061785,0.034381,0,-0.015233,1,0.008,0.008,0.5,0.05
-0.00066266,0.035456,0,-0.015249,1,0.009,0.009,0.5,0.05
-0.00070746,0.03653,0,-0.015265,1,0.01,0.01,0.5,0.05
-0.00075227,0.037605,0,-0.015281,1,0.011,0.011,0.5,0.05
-0.00079708,0.03868,0,-0.015297,1,0.012,0.012,0.5,0.05
-0.00084189,0.039754,0,-0.015313,1,0.013,0.013,0.5,0.05
-0.00088669,0.040829,0,-0.015329,1,0.014,0.014,0.5,0.05
-0.0009315,0.041904,0,-0.015345,1,0.015,0.015,0.5,0.05
-0.00097631,0.042978,0,-0.015361,1,0.016,0.016,0.5,0.05
-0.0010211,0.044053,0,-0.015377,1,0.017,0.017,0.5,0.05
-0.0010659,0.045127,0,-0.015393,1,0.018,0.018,0.5,0.05
-0.0011107,0.046202,0,-0.015409,1,0.019,0.019,0.5,0.05
-0.0011555,0.047277,0,-0.015425,1,0.02,0.02,0.5,0.05
-0.0012972,0.049234,0,-0.015452,1,0.021,0.021,0.5,0.05
-0.0014389,0.051192,0,-0.015479,1,0.022,0.022,0.5,0.05
-0.0015806,0.05315,0,-0.015506,1,0.023,0.023,0.5,0.05
-0.0017222,0.055107,0,-0.015533,1,0.024,0.024,0.5,0.05
-0.0018639,0.057065,0,-0.015561,1,0.025,0.025,0.5,0.05
-0.0020056,0.059022,0,-0.015588,1,0.026,0.026,0.5,0.05
-0.0021473,0.06098,0,-0.015615,1,0.027,0.027,0.5,0.05
-0.0022889,0.062938,0,-0.015642,1,0.028,0.028,0.5,0.05
-0.0024306,0.064895,0,-0.015669,1,0.029,0.029,0.5,0.05
-0.0025723,0.066853,0,-0.015696,1,0.03,0.03,0.5,0.05
-0.002714,0.06881,0,-0.015724,1,0.031,0.031,0.5,0.05
-0.0028557,0.070768,0,-0.015751,1,0.032,0.032,0.5,0.05
-0.0029973,0.072726,0,-0.015778,1,0.033,0.033,0.5,0.05
-0.003139,0.074683,0,-0.015805,1,0.034,0.034,0.5,0.05
-0.0032807,0.076641,0,-0.015832,1,0.035,0.035,0.5,0.05
-0.0034224,0.078598,0,-0.01586,1,0.036,0.036,0.5,0.05
-0.003564,0.080556,0,-0.015887,1,0.037,0.037,0.5,0.05
-0.0037057,0.082514,0,-0.015914,1,0.038,0.038,0.5,0.05
-0.0038474,0.084471,0,-0.015941,1,0.039,0.039,0.5,0.05
-0.0039891,0.086429,0,-0.015968,1,0.04,0.04,0.5,0.05
-0.0042196,0.088027,0,-0.015991,1,0.041,0.041,0.5,0.05
-0.0044501,0.089625,0,-0.016014,1,0.042,0.042,0.5,0.05
-0.0046806,0.091223,0,-0.016037,1,0.043,0.043,0.5,0.05
-0.0049112,0.092821,0,-0.01606,1,0.044,0.044,0.5,0.05
-0.0051417,0.094419,0,-0.016083,1,0.045,0.045,0.5,0.05
-0.0053722,0.096016,0,-0.016106,1,0.046,0.046,0.5,0.05
-0.0056027,0.097614,0,-0.016129,1,0.047,0.047,0.5,0.05
-0.0058333,0.099212,0,-0.016152,1,0.048,0.048,0.5,0.05
-0.0060638,0.10081,0,-0.016175,1,0.049,0.049,0.5,0.05
-0.0062943,0.10241,0,-0.016198,1,0.05,0.05,0.5,0.05
-0.0065248,0.10401,0,-0.016221,1,0.051,0.051,0.5,0.05
-0.0067554,0.1056,0,-0.016244,1,0.052,0.052,0.5,0.05
-0.0069859,0.1072,0,-0.016267,1,0.053,0.053,0.5,0.05
-0.0072164,0.1088,0,-0.01629,1,0.054,0.054,0.5,0.05
-0.0074469,0.1104,0,-0.016313,1,0.055,0.055,0.5,0.05
-0.0076775,0.112,0,-0.016336,1,0.056,0.056,0.5,0.05
-0.007908,0.11359,0,-0.016359,1,0.057,0.057,0.5,0.05
-0.0081385,0.11519,0,-0.016382,1,0.058,0.058,0.5,0.05
-0.008369,0.11679,0,-0.016405,1,0.059,0.059,0.5,0.05
-0.0085996,0.11839,0,-0.016428,1,0.06,0.06,0.5,0.05
-0.0088974,0.11967,0,-0.016454,1,0.061,0.061,0.5,0.05
-0.0091953,0.12096,0,-0.01648,1,0.062,0.062,0.5,0.05
-0.0094932,0.12225,0,-0.016506,1,0.063,0.063,0.5,0.05
-0.0097911,0.12353,0,-0.016532,1,0.064,0.064,0.5,0.05
-0.010089,0.12482,0,-0.016558,1,0.065,0.065,0.5,0.05
-0.010387,0.12611,0,-0.016584,1,0.066,0.066,0.5,0.05
-0.010685,0.12739,0,-0.01661,1,0.067,0.067,0.5,0.05
-0.010983,0.12868,0,-0.016636,1,0.068,0.068,0.5,0.05
-0.01128,0.12997,0,-0.016662,1,0.069,0.069,0.5,0.05
-0.011578,0.13125,0,-0.016688,1,0.07,0.07,0.5,0.05
