"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0011961,0.066966,0,-0.017927,1,0,0,0.5,0.05
0.0013402,0.07208,0,-0.017926,1,0.001,0.001,0.5,0.05
0.0014844,0.077195,0,-0.017926,1,0.002,0.002,0.5,0.05
0.0016285,0.082309,0,-0.017925,1,0.003,0.003,0.5,0.05
0.0017727,0.087423,0,-0.017925,1,0.004,0.004,0.5,0.05
0.0019168,0.092538,0,-0.017924,1,0.005,0.005,0.5,0.05
0.0020609,0.097652,0,-0.017923,1,0.006,0.006,0.5,0.05
0.0022051,0.10277,0,-0.017923,1,0.007,0.007,0.5,0.05
0.0023492,0.10788,0,-0.017922,1,0.008,0.008,0.5,0.05
0.0024933,0.113,0,-0.017922,1,0.009,0.009,0.5,0.05
0.0026375,0.11811,0,-0.017921,1,0.01,0.01,0.5,0.05
0.0028598,0.12658,0,-0.017937,1,0.011,0.011,0.5,0.05
0.0030822,0.13504,0,-0.017953,1,0.012,0.012,0.5,0.05
0.0033046,0.14351,0,-0.017969,1,0.013,0.013,0.5,0.05
0.0035269,0.15198,0,-0.017985,1,0.014,0.014,0.5,0.05
0.0037493,0.16044,0,-0.018001,1,0.015,0.015,0.5,0.05
0.0039717,0.16891,0,-0.018017,1,0.016,0.016,0.5,0.05
0.004194,0.17737,0,-0.018033,1,0.017,0.017,0.5,0.05
0.0044164,0.18584,0,-0.018049,1,0.018,0.018,0.5,0.05
0.0046388,0.19431,0,-0.018066,1,0.019,0.019,0.5,0.05
0.0048611,0.20277,0,-0.018082,1,0.02,0.02,0.5,0.05
0.0049106,0.20826,0,-0.01813,1,0.021,0.021,0.5,0.05
0.0049601,0.21375,0,-0.018179,1,0.022,0.022,0.5,0.05
0.0050095,0.21923,0,-0.018228,1,0.023,0.023,0.5,0.05
0.005059,0.22472,0,-0.018277,1,0.024,0.024,0.5,0.05
0.0051084,0.23021,0,-0.018326,1,0.025,0.025,0.5,0.05
0.0051579,0.23569,0,-0.018375,1,0.026,0.026,0.5,0.05
0.0052074,0.24118,0,-0.018424,1,0.027,0.027,0.5,0.05
0.0052568,0.24667,0,-0.018473,1,0.028,0.028,0.5,0.05
0.0053063,0.25215,0,-0.018521,1,0.029,0.029,0.5,0.05
0.0053557,0.25764,0,-0.01857,1,0.03,0.03,0.5,0.05
0.0052525,0.26129,0,-0.018651,1,0.031,0.031,0.5,0.05
0.0051492,0.26493,0,-0.018732,1,0.032,0.032,0.5,0.05
0.005046,0.26857,0,-0.018813,1,0.033,0.033,0.5,0.05
0.0049427,0.27222,0,-0.018894,1,0.034,0.034,0.5,0.05
0.0048394,0.27586,0,-0.018975,1,0.035,0.035,0.5,0.05
0.0047362,0.27951,0,-0.019056,1,0.036,0.036,0.5,0.05
0.0046329,0.28315,0,-0.019137,1,0.037,0.037,0.5,0.05
0.0045297,0.2868,0,-0.019218,1,0.038,0.038,0.5,0.05
